,problemId,title,tags,acceptedUserCount,averageTries,level
28,1028,다이아몬드 광산,['dp'],906,3.926,16
29,1029,그림 교환,"['dp_bitfield', 'dp', 'bitmask']",717,3.8438,15
30,1030,프렉탈 평면,"['recursion', 'divide_and_conquer']",430,2.2628,13
31,1031,스타 대결,['flow'],298,5.0101,21
32,1032,명령 프롬프트,"['string', 'implementation']",10070,1.8905,5
33,1033,칵테일,"['euclidean', 'graph_traversal', 'number_theory', 'math', 'graphs']",375,3.944,14
34,1034,램프,"['ad_hoc', 'bruteforcing']",980,2.7949,11
35,1035,조각 움직이기,"['bruteforcing', 'bfs', 'graph_traversal', 'bitmask', 'graphs']",337,2.2819,15
36,1036,36진수,"['string', 'arbitrary_precision', 'math', 'greedy', 'implementation']",453,4.713,15
37,1037,약수,"['number_theory', 'math']",16404,1.9248,6
38,1038,감소하는 수,"['bruteforcing', 'backtracking']",3977,3.1924,11
39,1039,교환,"['graph_traversal', 'graphs', 'bfs']",1740,4.669,13
40,1040,정수,"['dp_bitfield', 'dp', 'bitmask', 'greedy']",233,4.2446,19
41,1041,주사위,"['greedy', 'math']",2116,3.9655,11
42,1042,움,['dp'],61,2.9836,20
43,1043,거짓말,"['graph_traversal', 'data_structures', 'graphs', 'disjoint_set']",3526,2.3786,12
44,1044,팀 선발,"['bitmask', 'mitm']",174,6.4943,18
45,1045,도로,"['graphs', 'mst', 'greedy']",159,4.5157,15
46,1046,그림자,"['line_intersection', 'sweeping', 'geometry']",40,4.225,23
47,1047,울타리,"['bruteforcing', 'greedy']",92,4.5217,16
48,1048,유니콘,"['prefix_sum', 'dp']",110,3.1091,17
49,1049,기타줄,"['greedy', 'math']",5035,2.8403,7
50,1050,물약,"['graphs', 'string', 'parsing']",106,9.5377,16
51,1051,숫자 정사각형,"['bruteforcing', 'implementation']",4412,2.556,8
52,1052,물병,"['bitmask', 'simulation', 'math', 'greedy', 'implementation']",1463,2.7956,10
53,1053,팰린드롬 공장,['dp'],249,2.8835,14
54,1054,팰린드롬 문장,"['dp_bitfield', 'string', 'dp', 'bitmask']",53,2.9245,22
55,1055,끝이없음,"['recursion', 'simulation', 'implementation']",89,4.6404,18
56,1056,수,"['recursion', 'dp', 'arbitrary_precision']",89,5.7191,19
57,1057,토너먼트,"['bruteforcing', 'math']",6808,1.7806,8
58,1058,친구,"['bruteforcing', 'floyd_warshall', 'graphs', 'graph_traversal']",2072,2.5492,9
59,1059,좋은 구간,"['bruteforcing', 'sorting', 'math']",2044,3.7906,6
60,1060,좋은 수,"['sorting', 'data_structures', 'priority_queue', 'math']",101,5.396,14
61,1061,삼각형,"['geometry', 'convex_hull']",33,4.5758,21
62,1062,가르침,"['bruteforcing', 'bitmask', 'backtracking']",4617,3.984,12
63,1063,킹,"['simulation', 'implementation']",2361,2.9293,7
64,1064,평행사변형,"['pythagoras', 'geometry', 'math']",1000,3.228,6
65,1065,한수,['bruteforcing'],47296,1.8829,7
66,1066,에이한수,"['greedy', 'dp']",46,1.2174,19
67,1067,이동,"['fft', 'math']",642,1.9548,20
68,1068,트리,"['graph_traversal', 'graphs', 'dfs', 'trees']",6133,3.6845,11
69,1069,집으로,"['ad_hoc', 'case_work', 'geometry']",560,4.2054,14
70,1070,김지민의 침략,"['flow', 'mfmc']",47,3.7234,20
71,1071,소트,['greedy'],442,3.3371,16
72,1072,게임,"['binary_search', 'math']",4220,4.3723,8
73,1073,도미노,"['graphs', 'eulerian_path']",101,1.9208,18
74,1074,Z,"['recursion', 'divide_and_conquer']",11553,2.6526,10
75,1075,나누기,['math'],6135,1.8171,4
76,1076,저항,['implementation'],7561,2.3709,4
77,1077,넓이,"['point_in_convex_polygon', 'polygon_area', 'convex_hull', 'line_intersection', 'geometry']",84,5.4881,20
78,1078,뒤집음,"['bruteforcing', 'math']",66,8.7576,20
79,1079,마피아,['bruteforcing'],368,5.2283,14
80,1080,행렬,['greedy'],4551,2.4966,10
81,1081,합,['math'],528,2.4716,14
82,1082,방 번호,"['greedy', 'dp']",597,3.5662,12
83,1083,소트,"['sorting', 'greedy']",589,3.4771,12
84,1084,방 번호 2,"['greedy', 'implementation']",43,7.8605,19
85,1085,직사각형에서 탈출,"['geometry', 'math']",29261,1.6417,3
86,1086,박성원,"['dp_bitfield', 'dp', 'bitmask']",1100,4.0964,16
87,1087,쥐 잡기,['ternary_search'],194,4.7423,17
88,1088,케이크,['greedy'],90,2.9,19
89,1089,스타트링크 타워,"['probability', 'string', 'math', 'implementation']",440,4.1477,11
90,1090,체커,['bruteforcing'],83,2.1566,17
91,1091,카드 섞기,"['simulation', 'implementation']",361,2.6371,11
92,1092,배,"['sorting', 'greedy']",2086,4.1707,11
93,1093,스티커 수집,"['bruteforcing', 'mitm']",93,5.4301,18
94,1094,막대기,"['bitmask', 'math']",11496,1.3393,6
95,1095,마법의 구슬,"['number_theory', 'math']",89,5.7978,15
96,1096,종이 접기,['bruteforcing'],45,3.7556,18
97,1097,마법의 문자열,"['bruteforcing', 'string', 'kmp']",180,2.55,16
98,1098,쌍둥이 마을,"['dp_bitfield', 'dp', 'bitmask']",29,3.5517,19
99,1099,알 수 없는 문장,['dp'],328,3.2348,13
100,1100,하얀 칸,"['string', 'implementation']",10552,1.4306,4
101,1101,카드 정리 1,"['bruteforcing', 'greedy']",63,3.1746,12
102,1102,발전소,"['dp_bitfield', 'dp', 'bitmask']",1787,4.1147,15
103,1103,게임,"['graph_traversal', 'graphs', 'dp', 'dfs']",1903,4.9511,14
104,1104,패턴,"['string', 'math']",22,7.5,15
105,1105,팔,"['greedy', 'math']",1132,3.083,10
106,1106,호텔,"['dp', 'knapsack']",885,3.3107,10
107,1107,리모컨,['bruteforcing'],10214,4.45,11
108,1108,검색 엔진,"['data_structures', 'topological_sorting', 'scc', 'hash_set', 'graphs']",188,5.5053,18
109,1109,섬,"['graph_traversal', 'graphs', 'bfs', 'dfs']",87,4.5402,17
110,1110,더하기 사이클,"['math', 'implementation']",70075,2.1442,5
111,1111,IQ Test,"['bruteforcing', 'case_work', 'math', 'implementation']",1095,5.5863,14
112,1112,진법 변환,"['math', 'number_theory', 'implementation']",148,2.6284,15
113,1113,수영장 만들기,"['bfs', 'graph_traversal', 'simulation', 'graphs', 'implementation']",629,3.1161,15
114,1114,통나무 자르기,"['binary_search', 'parametric_search', 'greedy']",460,5.2391,15
115,1115,순열,['graphs'],94,2.2553,15
116,1116,순열 2,"['graphs', 'greedy']",22,3.6364,19
117,1117,색칠 1,"['math', 'implementation']",158,3.519,11
118,1118,색칠 2,"['sorting', 'sweeping', 'geometry', 'implementation']",6,2,19
119,1119,그래프,"['graph_traversal', 'graphs']",31,3.9355,15
120,1120,문자열,"['bruteforcing', 'string', 'implementation']",6246,1.8476,7
121,1121,도형,['dp'],78,4.1795,18
122,1122,뒤집기,"['graph_traversal', 'graphs', 'bfs', 'math']",51,5.0588,18
123,1123,셔플,"['exponentiation_by_squaring', 'math']",12,3.3333,22
124,1124,언더프라임,"['sieve', 'primality_test', 'number_theory', 'math']",848,2.5554,8
125,1125,바닥 장식,"['greedy', 'math']",17,8.2941,16
126,1126,같은 탑,['dp'],1184,4.0794,18
127,1127,떡국,"['flow', 'mfmc']",36,1.7778,22
128,1128,피보나치 냅색,"['dp', 'math']",73,5.274,20
129,1129,키,"['sorting', 'greedy', 'dp']",30,3.2667,18
130,1130,종이 레이싱,"['bfs', 'graph_traversal', 'line_intersection', 'geometry', 'graphs']",4,6,21
131,1131,숫자,"['graph_traversal', 'graphs', 'dp']",91,3.8022,16
132,1132,합,['greedy'],528,3.8011,13
133,1133,반복되지 않는 단어,"['recursion', 'backtracking']",16,3.75,16
134,1134,식,"['bruteforcing', 'dp', 'implementation']",17,5.9412,21
135,1135,뉴스 전하기,"['dp', 'sorting', 'trees', 'dp_tree', 'greedy']",751,2.3968,15
136,1136,조각 놓기,['dp'],11,7.0909,15
137,1137,로봇 레이스,['dp'],10,2,17
138,1138,한 줄로 서기,['implementation'],3704,1.7964,9
139,1139,울타리,"['dp_bitfield', 'dp', 'bitmask']",47,2.5957,15
140,1140,요금,['math'],18,7.0556,23
141,1141,접두사,"['sorting', 'string']",453,2.2428,9
142,1142,피자,['geometry'],15,4.8667,18
143,1143,경찰,"['graphs', 'scc']",24,3.3333,19
144,1144,싼 비용,"['dp_connection_profile', 'dp']",66,3.7727,23
145,1145,적어도 대부분의 배수,['bruteforcing'],2785,1.702,5
146,1146,지그재그 서기,"['dp', 'math']",375,2.384,16
147,1147,BOJ 소풍,"['combinatorics', 'geometry', 'math']",21,2.9524,19
148,1148,단어 만들기,"['string', 'implementation']",116,2.7069,10
149,1149,RGB거리,['dp'],28347,1.9915,10
150,1150,백업,"['data_structures', 'greedy', 'priority_queue']",291,3.9278,22
151,1151,그림자,"['case_work', 'polygon_area', 'geometry_3d', 'geometry']",9,3.1111,17
152,1152,단어의 개수,"['string', 'implementation']",53293,3.2739,4
153,1153,네 개의 소수,"['sieve', 'primality_test', 'number_theory', 'math']",644,2.4689,12
154,1154,팀 편성,"['graph_traversal', 'graphs']",50,2.86,16
155,1155,변형 하노이,['dp'],25,1.96,16
156,1156,장난감,"['greedy', 'ternary_search']",11,3.2727,20
157,1157,단어 공부,"['string', 'implementation']",47626,2.5555,5
158,1158,요세푸스 문제,"['queue', 'data_structures']",21301,2.0737,6
159,1159,농구 경기,"['string', 'implementation']",5175,1.9368,4
160,1160,Random Number Generator,"['exponentiation_by_squaring', 'math']",57,2.4737,16
161,1161,버스,"['data_structures', 'greedy', 'priority_queue']",31,2.1613,19
162,1162,도로포장,"['graphs', 'dp', 'dijkstra']",1068,4.8343,15
163,1163,증가하는 리스트,"['dp', 'implementation']",5,3.2,21
164,1164,가리기,"['ad_hoc', 'greedy', 'backtracking']",8,3.5,20
165,1165,단어퍼즐,"['data_structures', 'bfs', 'dfs', 'heuristics', 'trie', 'hashing', 'graph_traversal', 'bitmask', 'precomputation', 'string', 'backtracking', 'trees', 'graphs', 'parsing']",20,3.15,23
166,1166,선물,['binary_search'],426,5.7441,8
167,1167,트리의 지름,"['graph_traversal', 'graphs', 'dfs', 'trees']",6832,2.9454,13
168,1168,요세푸스 문제 2,"['data_structures', 'segtree']",694,3.3184,17
169,1169,정사각형 진열,"['greedy', 'geometry']",14,4.5,15
170,1170,선인장의 개수,"['graphs', 'cactus']",63,2.4921,18
171,1171,사오정,['dp'],8,2.75,21
172,1172,선인장 Automorphisms,[],6,3.3333,24
173,1173,운동,"['simulation', 'implementation']",1608,2.8458,4
174,1174,줄어드는 수,"['bruteforcing', 'backtracking']",701,2.4522,11
175,1175,배달,"['graph_traversal', 'graphs', 'bfs']",475,4.12,15
176,1176,섞기,"['dp_bitfield', 'dp', 'bitmask']",107,2.5701,15
177,1177,조쌤포스,"['sweeping', 'geometry', 'math']",40,4.8,16
178,1178,간선 추가,"['graphs', 'eulerian_path']",58,3.1207,16
179,1179,마지막 요세푸스 문제,"['dp', 'math']",144,2.6875,19
180,1180,선인장의 지름,"['data_structures', 'dp', 'biconnected_component', 'cactus', 'trees', 'dp_tree', 'graphs']",25,3.92,23
181,1181,단어 정렬,"['sorting', 'string']",26234,2.478,6
182,1182,부분수열의 합,"['bruteforcing', 'backtracking']",14151,2.2617,9
183,1183,약속,"['sorting', 'math']",172,2.7151,7
184,1184,귀농,"['bruteforcing', 'data_structures', 'dp', 'prefix_sum', 'hash_set']",225,2.2711,16
185,1185,유럽여행,"['graphs', 'mst']",303,1.6634,17
186,1186,직사각형 색칠하기,"['sorting', 'greedy', 'geometry']",36,3.8611,12
187,1187,숫자 놀이,"['constructive', 'divide_and_conquer', 'math']",84,2.4286,21
188,1188,음식 평론가,"['number_theory', 'math']",1681,2.1249,11
189,1189,컴백홈,"['bruteforcing', 'backtracking']",598,1.8261,10
190,1190,골 세레모니,[],3,9.3333,23
191,1191,게임,[],5,6.8,0
192,1192,장갑,[],13,3.6154,0
193,1193,분수찾기,"['math', 'implementation']",30037,1.9664,5
194,1194,"달이 차오른다, 가자.","['graph_traversal', 'graphs', 'bitmask', 'bfs']",2752,2.7994,15
195,1195,킥다운,"['bruteforcing', 'implementation']",119,3.5798,11
196,1196,잭 바우어,"['calculus', 'numerical_analysis', 'arbitrary_precision', 'math']",27,15.7037,22
197,1197,최소 스패닝 트리,"['graphs', 'mst']",10538,2.5003,12
198,1198,삼각형으로 자르기,"['bruteforcing', 'geometry', 'math']",212,1.8821,8
199,1199,오일러 회로,"['graph_traversal', 'graphs', 'eulerian_path', 'dfs']",261,7.908,16
200,1200,기상예측,"['bruteforcing', 'dp', 'prefix_sum', 'binary_search', 'greedy']",56,1.9464,18
201,1201,NMK,"['constructive', 'greedy', 'math']",988,3.1559,18
202,1202,보석 도둑,"['sorting', 'data_structures', 'greedy', 'priority_queue']",5070,4.5079,14
203,1203,게임,[],4,20.25,0
204,1204,팰린드롬의 개수,['dp'],38,1.6579,21
205,1205,등수 구하기,['implementation'],1582,4.5961,7
206,1206,사람의 수,"['bruteforcing', 'math']",72,8.7917,9
207,1207,종이 자르기,"['bruteforcing', 'backtracking', 'implementation']",19,12.3158,14
208,1208,부분수열의 합 2,"['binary_search', 'mitm']",2582,4.3222,15
209,1209,단조수열 만들기,['dp'],185,2.373,16
210,1210,마피아,"['flow', 'mfmc']",233,4.2489,20
211,1211,보일의 법칙,"['bruteforcing', 'dp', 'number_theory', 'combinatorics', 'math']",14,2.3571,21
212,1212,8진수 2진수,"['string', 'math', 'implementation']",8233,2.8794,3
213,1213,팰린드롬 만들기,"['greedy', 'string', 'implementation']",3069,2.709,7
214,1214,쿨한 물건 구매,"['bruteforcing', 'number_theory', 'math']",316,5.3576,16
215,1215,잘못 작성한 요세푸스 코드,"['number_theory', 'math']",99,3.5859,17
216,1217,하우스 M.D.,"['graphs', '2_sat', 'scc']",97,1.9588,17
217,1218,로봇,"['data_structures', 'lazyprop', 'polygon_area', 'sweeping', 'coordinate_compression', 'lis', 'stack', 'segtree', 'geometry', 'implementation']",20,2.3,25
218,1219,오민식의 고민,"['graphs', 'bellman_ford']",938,6.3443,15
219,1220,MEGACITY,"['graph_traversal', 'graphs', 'dijkstra', 'coordinate_compression']",31,5.5484,19
220,1221,가까운 점,['sweeping'],10,26.1,18
221,1222,홍준 프로그래밍 대회,"['number_theory', 'math']",365,4.2795,14
222,1223,마법의 돌,[],2,8,0
223,1224,분수,"['number_theory', 'extended_euclidean', 'math']",8,4.75,19
224,1225,이상한 곱셈,"['string', 'math', 'implementation']",3246,2.6343,4
225,1226,국회,"['greedy', 'dp', 'knapsack']",133,3.1128,17
226,1227,그녀의 마음,"['bfs', 'graph_traversal', 'case_work', 'math', 'ad_hoc', 'graphs']",15,2.4667,19
227,1228,전쟁,[],4,4.25,0
228,1229,육각수,"['precomputation', 'dp', 'math']",116,2.2759,11
229,1230,문자열 거리,['dp'],70,3.4571,15
230,1231,주식왕 동호,"['dp', 'knapsack']",65,3.8769,15
231,1232,체스,"['ad_hoc', 'graphs', 'graph_traversal']",2,4.5,22
232,1233,주사위,"['bruteforcing', 'implementation']",1434,1.8354,4
233,1234,크리스마스 트리,"['dp', 'combinatorics', 'math']",487,2.2731,15
234,1235,학생 번호,"['string', 'implementation']",695,1.9986,7
235,1236,성 지키기,['implementation'],2660,2.6064,5
236,1237,정ㅋ벅ㅋ,[],13648,3.115,0
237,1238,파티,"['graphs', 'dijkstra']",8058,2.1391,13
238,1239,차트,['bruteforcing'],209,2.2967,11
239,1240,노드사이의 거리,"['bfs', 'dfs', 'graph_traversal', 'trees', 'graphs']",933,1.8607,11
240,1241,머리 톡톡,"['primality_test', 'number_theory', 'math']",174,2.9483,11
241,1242,소풍,['math'],323,3.2817,14
242,1243,팰린드롬,['dp'],67,2.2239,22
243,1244,스위치 켜고 끄기,"['simulation', 'implementation']",4223,5.1276,8
244,1245,농장 관리,"['graph_traversal', 'graphs', 'bfs', 'dfs']",357,2.4034,11
245,1246,온라인 판매,"['sorting', 'greedy']",1054,2.2894,7
246,1247,부호,"['arithmetic', 'arbitrary_precision', 'math']",1527,2.7616,3
247,1248,맞춰봐,['backtracking'],1675,2.7839,13
248,1249,워드똑똑,[],20,2.2,20
249,1250,색칠된 공들,"['data_structures', 'priority_queue']",6,59.5,24
250,1251,단어 나누기,"['bruteforcing', 'string', 'sorting', 'implementation']",1437,2.2331,6
251,1252,이진수 덧셈,"['arithmetic', 'math', 'implementation']",2182,3.1879,4
252,1253,좋다,"['data_structures', 'two_pointer', 'binary_search', 'sorting', 'hash_set']",1127,4.2236,12
253,1254,팰린드롬 만들기,"['bruteforcing', 'string']",2063,2.3398,10
254,1255,전쟁 - 선전포고,"['graphs', 'dijkstra']",18,3.8333,17
255,1256,사전,"['dp', 'combinatorics', 'math']",2594,3.4241,13
256,1257,엄청난 부자,"['dp', '0_1_bfs', 'math', 'graphs', 'dijkstra']",49,3.3265,20
257,1258,문제 할당,"['mcmf', 'flow']",89,1.4944,18
258,1259,팰린드롬수,"['string', 'implementation']",11143,1.6707,5
259,1260,DFS와 BFS,"['graph_traversal', 'graphs', 'bfs', 'dfs']",36218,2.8615,9
260,1261,알고스팟,"['0_1_bfs', 'graphs', 'dijkstra']",7719,2.4188,12
261,1262,알파벳 다이아몬드,['implementation'],78,3.0385,9
262,1263,시간 관리,"['sorting', 'greedy']",373,2.0107,10
263,1264,모음의 개수,"['string', 'implementation']",2421,1.6084,4
264,1265,순열,"['dp_bitfield', 'dp', 'bitmask', 'arbitrary_precision']",35,3.0571,18
265,1266,일어나!,"['line_intersection', 'sweeping', 'geometry']",3,9,21
266,1267,핸드폰 요금,"['arithmetic', 'math']",4162,2.2768,3
267,1268,임시 반장 정하기,['implementation'],1504,3.0997,5
268,1269,대칭 차집합,"['data_structures', 'tree_set', 'hash_set']",2479,1.8161,8
269,1270,전쟁 - 땅따먹기,"['data_structures', 'tree_set', 'hash_set', 'implementation']",202,4.2426,8
270,1271,엄청난 부자2,"['arithmetic', 'arbitrary_precision', 'math']",6952,3.0014,1
271,1272,특별 노드,[],13,1.4615,0
272,1273,샷,"['data_structures', 'prefix_sum', 'segtree']",81,3.4198,18
273,1274,커피숍1,[],10,22.9,0
274,1275,커피숍2,"['data_structures', 'segtree']",2769,3.4583,15
275,1276,PLATFORME,"['sorting', 'implementation']",150,2.2467,10
276,1277,발전소 설치,"['graphs', 'dijkstra']",102,3.5294,12
277,1278,연극,"['constructive', 'recursion', 'math']",24,1.125,13
278,1279,내멋대로 주사위,[],9,2.6667,0
279,1280,나무 심기,"['data_structures', 'segtree']",911,6.0439,17
280,1281,보석상,"['mcmf', 'flow', 'linear_programming', 'hungarian', 'duality']",23,2.2174,22
281,1282,P-수열,['dp'],24,3.25,20
282,1283,단축키 지정,"['string', 'implementation']",408,2.9387,9
283,1284,집 주소,"['arithmetic', 'math', 'implementation']",1962,1.3216,3
284,1285,동전 뒤집기,"['bruteforcing', 'greedy', 'bitmask']",820,2.1439,15
285,1286,부분 직사각형,"['combinatorics', 'math']",35,1.6,10
286,1287,할 수 있다,"['case_work', 'string', 'arithmetic', 'math', 'parsing', 'implementation']",132,6.1136,15
287,1288,전쟁 - 국지전,[],5,2.2,21
288,1289,트리의 가중치,"['dp_tree', 'dp', 'trees', 'math']",605,3.1752,18
289,1290,배럭,"['bruteforcing', 'simulation', 'math', 'greedy', 'implementation']",24,5.0417,20
290,1291,이면수와 임현수,"['primality_test', 'case_work', 'number_theory', 'math', 'implementation']",99,3.9394,8
291,1292,쉽게 푸는 문제,"['math', 'implementation']",8174,1.7622,6
292,1293,생물농축,"['topological_sorting', 'dp', 'dfs', 'graph_traversal', 'knapsack', 'graphs']",14,2.7857,18
293,1294,문자열 장식,"['sorting', 'greedy', 'string']",125,6.888,19
294,1295,평면도,[],3,14,24
295,1296,팀 이름 정하기,"['string', 'implementation']",938,2.4563,5
296,1297,TV 크기,"['pythagoras', 'geometry', 'math']",4258,1.7656,2
297,1298,노트북의 주인을 찾아서,['bipartite_matching'],1411,2.1028,16
298,1299,전쟁 - 탈출편2,[],3,11,17
299,1300,K번째 수,"['binary_search', 'parametric_search']",5791,2.6581,14
300,1301,비즈 공예,['dp'],211,3.3365,12
301,1302,베스트셀러,"['sorting', 'data_structures', 'string', 'hash_set']",4686,2.0719,7
302,1303,전쟁 - 전투,"['graph_traversal', 'graphs', 'bfs', 'dfs']",1773,2.643,10
303,1304,지역,[],40,3.6,15
304,1305,광고,"['string', 'kmp']",1925,1.8442,17
305,1306,달려라 홍준,"['data_structures', 'segtree', 'sliding_window']",571,2.2539,16
306,1307,마방진,"['ad_hoc', 'implementation']",79,3.0253,17
307,1308,D-Day,['implementation'],232,4.6552,6
308,1309,동물원,['dp'],7965,2.0753,10
309,1310,달리기 코스,"['rotating_calipers', 'geometry', 'convex_hull']",153,2.5621,19
310,1311,할 일 정하기 1,"['dp_bitfield', 'dp', 'bitmask']",609,2.1987,15
311,1312,소수,['math'],1311,2.6468,6
312,1314,동굴 탐험,"['dp', 'dp_bitfield', 'bitmask', 'dijkstra', 'graphs']",17,8.4706,19
313,1315,RPG,['dp'],526,4.2852,19
314,1316,그룹 단어 체커,"['string', 'implementation']",36349,1.9146,6
315,1317,그룹 단어,[],13,6.5385,0
316,1318,포커,"['bruteforcing', 'precomputation', 'case_work', 'implementation']",36,3.4722,13
317,1319,지민 vs 한수,[],6,4.5,0
318,1321,군인,"['data_structures', 'binary_search', 'segtree']",512,1.8789,17
319,1322,X와 K,"['bitmask', 'math']",504,2.4841,12
320,1323,숫자 연결하기,"['pigeonhole_principle', 'number_theory', 'math']",197,4.0812,11
321,1324,젠장,['dp'],50,3.66,14
322,1325,효율적인 해킹,"['graph_traversal', 'graphs', 'bfs', 'dfs']",4912,5.0356,10
323,1326,폴짝폴짝,"['graph_traversal', 'graphs', 'bfs']",397,3.9698,9
324,1327,소트 게임,"['data_structures', 'bfs', 'graph_traversal', 'tree_set', 'graphs']",513,2.9201,10
325,1328,고층 빌딩,"['dp', 'combinatorics', 'math']",1843,3.0483,16
326,1329,증가 수열,[],7,6.5714,0
327,1330,두 수 비교하기,"['arithmetic', 'math', 'implementation']",90981,1.9968,2
328,1331,나이트 투어,"['simulation', 'implementation']",1115,3.4924,6
329,1332,풀자,['bruteforcing'],33,4.9394,13
330,1333,부재중 전화,"['simulation', 'implementation']",810,3.6062,4
331,1334,다음 팰린드롬 수,"['string', 'case_work', 'math']",290,5.2207,9
332,1335,여섯 쌍 서로소,"['discrete_log', 'crt', 'fft', 'number_theory', 'math', 'mobius_inversion']",4,7,24
333,1336,수열의 개수 NKD,"['prefix_sum', 'dp']",12,5.3333,17
334,1337,올바른 배열,"['sorting', 'two_pointer']",605,2.7587,7
335,1338,알 수 없는 번호,"['case_work', 'math']",69,12.5362,12
336,1339,단어 수학,"['bruteforcing', 'greedy']",6749,2.2597,12
337,1340,연도 진행바,"['string', 'parsing', 'implementation']",273,2.4725,6
338,1341,사이좋은 형제,"['math', 'implementation']",101,4.6634,13
339,1342,행운의 문자열,"['bruteforcing', 'string', 'backtracking']",1083,2.4174,10
340,1343,폴리오미노,['greedy'],2198,1.9481,6
341,1344,축구,"['probability', 'dp', 'combinatorics', 'math']",705,1.7362,12
342,1345,등차수열,"['parametric_search', 'arbitrary_precision', 'math']",34,8.3235,14
343,1346,탑을 향해서,"['graphs', 'dp', 'scc']",17,3.8235,18
344,1347,미로 만들기,"['string', 'simulation', 'implementation']",763,1.9712,7
345,1348,주차장,"['bfs', 'bipartite_matching', 'graph_traversal', 'binary_search', 'graphs']",410,4.3756,19
346,1349,건축가의 나라,[],3,2,0
347,1350,진짜 공간,"['arithmetic', 'math']",1869,2.9358,4
348,1351,무한 수열,"['tree_set', 'data_structures', 'dp', 'hash_set']",1668,2.6613,12
349,1352,문자열,['greedy'],86,3.2907,15
350,1353,합과 곱,"['calculus', 'math']",149,4.5973,16
351,1354,무한 수열 2,"['tree_set', 'data_structures', 'dp', 'hash_set']",306,2.2516,12
352,1355,구멍난 케이크 자르기,"['graph_traversal', 'graphs', 'math', 'implementation']",24,6.6667,15
353,1356,유진수,"['arithmetic', 'string', 'math', 'implementation']",1547,2.2818,5
354,1357,뒤집힌 덧셈,"['string', 'implementation']",5550,2.1213,5
355,1358,하키,['geometry'],267,1.5993,7
356,1359,복권,"['bruteforcing', 'probability', 'combinatorics', 'math']",320,3.0281,7
357,1360,되돌리기,['implementation'],168,3.0714,11
358,1361,두 스트링 마스크,[],7,1.8571,0
359,1362,펫,['implementation'],359,4.1755,4
360,1363,트리,[],4,2,0
361,1364,울타리 치기,['math'],38,3.4211,10
362,1365,꼬인 전깃줄,"['binary_search', 'lis']",1861,1.7797,14
363,1366,기타 코드,[],3,3.3333,0
364,1367,타브 악보,[],4,5,0
365,1368,물대기,"['graphs', 'mst']",351,2.3989,14
366,1369,배열값,"['greedy', 'dp', 'math']",57,3.807,16
367,1370,전쟁 - 화계가 아닌 수계,[],3,5.6667,22
368,1371,가장 많은 글자,"['string', 'implementation']",2386,2.5427,4
369,1372,단어 합치기,"['dp', 'bfs', 'dp_bitfield', 'graph_traversal', 'bitmask', 'string', 'graphs']",40,7.45,19
370,1373,2진수 8진수,"['string', 'math']",6763,2.5092,4
371,1374,강의실,"['sorting', 'data_structures', 'greedy', 'priority_queue']",587,2.4719,11
372,1375,나이,"['data_structures', 'topological_sorting', 'dfs', 'graph_traversal', 'hash_set', 'graphs']",20,7.05,14
373,1376,민식우선탐색,"['data_structures', 'dfs', 'graph_traversal', 'segtree', 'binary_search', 'graphs']",86,8.0465,18
374,1377,버블 소트,['sorting'],1861,3.0457,14
375,1378,증가 수열,[],4,21.25,0
